1	258	25	6	227	60	0	2	0.01322	0.01322
2	363	28	9	326	105	3	3	0	0.02454
3	425	28	17	380	62	0	8	0.00789	0.01579
4	495	31	23	441	70	3	6	0.00227	0.03401
5	572	32	38	502	77	1	15	0.01594	0.01394
6	618	40	45	533	46	8	7	0.00375	0.03377
7	698	42	63	593	80	2	18	0	0.0371
8	1590	42	85	1463	892	0	22	0.02256	0.01299
9	1905	75	104	1726	315	33	19	0.00406	0.01448
10	2261	82	129	2050	356	7	25	0.01024	0.01463
11	2639	103	159	2377	378	21	30	0.01515	0.01388
12	3215	139	192	2884	576	36	33	0.0111	0.0111
13	4109	171	224	3714	894	32	32	0.01427	0.01104
14	5142	224	265	4653	1033	53	41	0.01698	0.01032
15	6384	303	313	5768	1242	79	48	0.01144	0.0085
16	8351	369	362	7620	1967	66	49	0.00827	0.00682
17	10117	432	414	9271	1766	63	52	0.01111	0.0069
18	11618	535	478	10605	1501	103	64	0.01546	0.00632
19	13603	699	545	12359	1985	164	67	0.01448	0.0051
20	14981	878	608	13495	1378	179	63	0.01237	0.00541
21	16902	1045	681	15176	1921	167	73	0.01237	0.00541
